Title,"HE student enrolment FTE by HE provider, level of study and academic year","","","","",""
Location,UK,"","","","",""
Academic years,2014/15 to 2020/21,"","","","",""
Data source,HESA,"","","","",""
Data collection,"051, 054","","","","",""
Data source link,https://www.hesa.ac.uk/data-and-analysis/students/table-2,"","","","",""
Data file canonical link,https://www.hesa.ac.uk/data-and-analysis/students/table-2.csv,"","","","",""
Licence,Creative Commons Attribution 4.0 International Licence,"","","","",""
Code page,Unicode UTF-8,"","","","",""
Disclaimer,Please note that this data includes rounded totals.  Caution must be taken when importing into a pivot table so as not to double count.,"","","","",""
Table 2014/15 total,1902320,"","","","",""
Table 2015/16 total,1933915,"","","","",""
Table 2016/17 total,1985695,"","","","",""
Table 2017/18 total,2035365,"","","","",""
Table 2018/19 total,2076095,"","","","",""
Table 2019/20 total,2147900,"","","","",""
Table 2020/21 total,2286840,"","","","",""
"","","","","","",""
Last updated,February 22,"","","","",""
"","","","","","",""
UKPRN,HE provider,Country of HE provider,Region of HE provider,Academic Year,Level of study,Number
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,Postgraduate (taught),1980
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,First degree,9685
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,Other undergraduate,90
10007783,The University of Aberdeen,Scotland,Scotland,2017/18,Total,12615
10007783,The University of Aberdeen,All,Scotland,2017/18,Postgraduate (research),860
10007783,The University of Aberdeen,All,Scotland,2017/18,Postgraduate (taught),1980
10007783,The University of Aberdeen,All,Scotland,2017/18,First degree,9685
10007783,The University of Aberdeen,All,Scotland,2017/18,Other undergraduate,90
10007783,The University of Aberdeen,All,Scotland,2017/18,Total,12615
10007783,The University of Aberdeen,All,All,2017/18,Postgraduate (research),860
10007783,The University of Aberdeen,All,All,2017/18,Postgraduate (taught),1980
10007783,The University of Aberdeen,All,All,2017/18,First degree,9685
10007783,The University of Aberdeen,All,All,2017/18,Other undergraduate,90
10007783,The University of Aberdeen,All,All,2017/18,Total,12615
10007783,The University of Aberdeen,Scotland,All,2017/18,Postgraduate (research),860
10007783,The University of Aberdeen,Scotland,All,2017/18,Postgraduate (taught),1980
10007783,The University of Aberdeen,Scotland,All,2017/18,First degree,9685
10007783,The University of Aberdeen,Scotland,All,2017/18,Other undergraduate,90
10007783,The University of Aberdeen,Scotland,All,2017/18,Total,12615
10007783,The University of Aberdeen,Scotland,Scotland,2016/17,Postgraduate (research),875
10007783,The University of Aberdeen,Scotland,Scotland,2016/17,Postgraduate (taught),1830
10007783,The University of Aberdeen,Scotland,Scotland,2016/17,First degree,9450
10007783,The University of Aberdeen,Scotland,Scotland,2016/17,Other undergraduate,85
10007783,The University of Aberdeen,Scotland,Scotland,2016/17,Total,12235
10007783,The University of Aberdeen,All,Scotland,2016/17,Postgraduate (research),875
10007783,The University of Aberdeen,All,Scotland,2016/17,Postgraduate (taught),1830
10007783,The University of Aberdeen,All,Scotland,2016/17,First degree,9450
10007783,The University of Aberdeen,All,Scotland,2016/17,Other undergraduate,85
10007783,The University of Aberdeen,All,Scotland,2016/17,Total,12235
10007783,The University of Aberdeen,All,All,2016/17,Postgraduate (research),875
10007783,The University of Aberdeen,All,All,2016/17,Postgraduate (taught),1830
10007783,The University of Aberdeen,All,All,2016/17,First degree,9450
10007783,The University of Aberdeen,All,All,2016/17,Other undergraduate,85
10007783,The University of Aberdeen,All,All,2016/17,Total,12235
10007783,The University of Aberdeen,Scotland,All,2016/17,Postgraduate (research),875
10007783,The University of Aberdeen,Scotland,All,2016/17,Postgraduate (taught),1830
10007783,The University of Aberdeen,Scotland,All,2016/17,First degree,9450
10007783,The University of Aberdeen,Scotland,All,2016/17,Other undergraduate,85
10007783,The University of Aberdeen,Scotland,All,2016/17,Total,12235
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Postgraduate (research),890
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Postgraduate (taught),1890
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,First degree,9225
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Other undergraduate,110
10007783,The University of Aberdeen,Scotland,Scotland,2015/16,Total,12115
10007783,The University of Aberdeen,All,Scotland,2015/16,Postgraduate (research),890
10007783,The University of Aberdeen,All,Scotland,2015/16,Postgraduate (taught),1890
10007783,The University of Aberdeen,All,Scotland,2015/16,First degree,9225
10007783,The University of Aberdeen,All,Scotland,2015/16,Other undergraduate,110
10007783,The University of Aberdeen,All,Scotland,2015/16,Total,12115
10007783,The University of Aberdeen,All,All,2015/16,Postgraduate (research),890
10007783,The University of Aberdeen,All,All,2015/16,Postgraduate (taught),1890
10007783,The University of Aberdeen,All,All,2015/16,First degree,9225
10007783,The University of Aberdeen,All,All,2015/16,Other undergraduate,110
10007783,The University of Aberdeen,All,All,2015/16,Total,12115
10007783,The University of Aberdeen,Scotland,All,2015/16,Postgraduate (research),890
10007783,The University of Aberdeen,Scotland,All,2015/16,Postgraduate (taught),1890
10007783,The University of Aberdeen,Scotland,All,2015/16,First degree,9225
10007783,The University of Aberdeen,Scotland,All,2015/16,Other undergraduate,110
10007783,The University of Aberdeen,Scotland,All,2015/16,Total,12115
10007783,The University of Aberdeen,Scotland,Scotland,2014/15,Postgraduate (research),865
10007783,The University of Aberdeen,Scotland,Scotland,2014/15,Postgraduate (taught),1720
10007783,The University of Aberdeen,Scotland,Scotland,2014/15,First degree,9190
10007783,The University of Aberdeen,Scotland,Scotland,2014/15,Other undergraduate,105
10007783,The University of Aberdeen,Scotland,Scotland,2014/15,Total,11880
10007783,The University of Aberdeen,All,Scotland,2014/15,Postgraduate (research),865
10007783,The University of Aberdeen,All,Scotland,2014/15,Postgraduate (taught),1720
10007783,The University of Aberdeen,All,Scotland,2014/15,First degree,9190
10007783,The University of Aberdeen,All,Scotland,2014/15,Other undergraduate,105
10007783,The University of Aberdeen,All,Scotland,2014/15,Total,11880
10007783,The University of Aberdeen,All,All,2014/15,Postgraduate (research),865
10007783,The University of Aberdeen,All,All,2014/15,Postgraduate (taught),1720
10007783,The University of Aberdeen,All,All,2014/15,First degree,9190
10007783,The University of Aberdeen,All,All,2014/15,Other undergraduate,105
10007783,The University of Aberdeen,All,All,2014/15,Total,11880
10007783,The University of Aberdeen,Scotland,All,2014/15,Postgraduate (research),865
10007783,The University of Aberdeen,Scotland,All,2014/15,Postgraduate (taught),1720
10007783,The University of Aberdeen,Scotland,All,2014/15,First degree,9190
10007783,The University of Aberdeen,Scotland,All,2014/15,Other undergraduate,105
10007783,The University of Aberdeen,Scotland,All,2014/15,Total,11880
10019746,ABI College Limited,England,South East,2017/18,Postgraduate (research),0
10019746,ABI College Limited,England,South East,2017/18,Postgraduate (taught),0
10019746,ABI College Limited,England,South East,2017/18,First degree,0
10019746,ABI College Limited,England,South East,2017/18,Other undergraduate,100
10019746,ABI College Limited,England,South East,2017/18,Total,100
10019746,ABI College Limited,All,South East,2017/18,Postgraduate (research),0
10019746,ABI College Limited,All,South East,2017/18,Postgraduate (taught),0
10019746,ABI College Limited,All,South East,2017/18,First degree,0
10019746,ABI College Limited,All,South East,2017/18,Other undergraduate,100
10019746,ABI College Limited,All,South East,2017/18,Total,100
10019746,ABI College Limited,All,All,2017/18,Postgraduate (research),0
10019746,ABI College Limited,All,All,2017/18,Postgraduate (taught),0
10019746,ABI College Limited,All,All,2017/18,First degree,0
10019746,ABI College Limited,All,All,2017/18,Other undergraduate,100
10019746,ABI College Limited,All,All,2017/18,Total,100
10019746,ABI College Limited,England,All,2017/18,Postgraduate (research),0
10019746,ABI College Limited,England,All,2017/18,Postgraduate (taught),0
10019746,ABI College Limited,England,All,2017/18,First degree,0
10019746,ABI College Limited,England,All,2017/18,Other undergraduate,100
10019746,ABI College Limited,England,All,2017/18,Total,100
10019746,ABI College Limited,England,South East,2016/17,Postgraduate (research),0
10019746,ABI College Limited,England,South East,2016/17,Postgraduate (taught),0
10019746,ABI College Limited,England,South East,2016/17,First degree,0
10019746,ABI College Limited,England,South East,2016/17,Other undergraduate,65
10019746,ABI College Limited,England,South East,2016/17,Total,65
10019746,ABI College Limited,All,South East,2016/17,Postgraduate (research),0
10019746,ABI College Limited,All,South East,2016/17,Postgraduate (taught),0
10019746,ABI College Limited,All,South East,2016/17,First degree,0
10019746,ABI College Limited,All,South East,2016/17,Other undergraduate,65
10019746,ABI College Limited,All,South East,2016/17,Total,65
10019746,ABI College Limited,All,All,2016/17,Postgraduate (research),0
10019746,ABI College Limited,All,All,2016/17,Postgraduate (taught),0
10019746,ABI College Limited,All,All,2016/17,First degree,0
10019746,ABI College Limited,All,All,2016/17,Other undergraduate,65
10019746,ABI College Limited,All,All,2016/17,Total,65
10019746,ABI College Limited,England,All,2016/17,Postgraduate (research),0
10019746,ABI College Limited,England,All,2016/17,Postgraduate (taught),0
10019746,ABI College Limited,England,All,2016/17,First degree,0
10019746,ABI College Limited,England,All,2016/17,Other undergraduate,65
10019746,ABI College Limited,England,All,2016/17,Total,65
10019746,ABI College Limited,England,South East,2015/16,Postgraduate (research),0
10019746,ABI College Limited,England,South East,2015/16,Postgraduate (taught),0
10019746,ABI College Limited,England,South East,2015/16,First degree,0
10019746,ABI College Limited,England,South East,2015/16,Other undergraduate,60
10019746,ABI College Limited,England,South East,2015/16,Total,60
10019746,ABI College Limited,All,South East,2015/16,Postgraduate (research),0
10019746,ABI College Limited,All,South East,2015/16,Postgraduate (taught),0
10019746,ABI College Limited,All,South East,2015/16,First degree,0
10019746,ABI College Limited,All,South East,2015/16,Other undergraduate,60
10019746,ABI College Limited,All,South East,2015/16,Total,60
10019746,ABI College Limited,All,All,2015/16,Postgraduate (research),0
10019746,ABI College Limited,All,All,2015/16,Postgraduate (taught),0
10019746,ABI College Limited,All,All,2015/16,First degree,0
10019746,ABI College Limited,All,All,2015/16,Other undergraduate,60
10019746,ABI College Limited,All,All,2015/16,Total,60
10019746,ABI College Limited,England,All,2015/16,Postgraduate (research),0
10019746,ABI College Limited,England,All,2015/16,Postgraduate (taught),0
10019746,ABI College Limited,England,All,2015/16,First degree,0
10019746,ABI College Limited,England,All,2015/16,Other undergraduate,60
10019746,ABI College Limited,England,All,2015/16,Total,60
10019746,ABI College Limited,England,South East,2014/15,Postgraduate (research),0
10019746,ABI College Limited,England,South East,2014/15,Postgraduate (taught),0
10019746,ABI College Limited,England,South East,2014/15,First degree,0
10019746,ABI College Limited,England,South East,2014/15,Other undergraduate,105
10019746,ABI College Limited,England,South East,2014/15,Total,105
10019746,ABI College Limited,All,South East,2014/15,Postgraduate (research),0
10019746,ABI College Limited,All,South East,2014/15,Postgraduate (taught),0
10019746,ABI College Limited,All,South East,2014/15,First degree,0
10019746,ABI College Limited,All,South East,2014/15,Other undergraduate,105
10019746,ABI College Limited,All,South East,2014/15,Total,105
10019746,ABI College Limited,All,All,2014/15,Postgraduate (research),0
10019746,ABI College Limited,All,All,2014/15,Postgraduate (taught),0
10019746,ABI College Limited,All,All,2014/15,First degree,0
10019746,ABI College Limited,All,All,2014/15,Other undergraduate,105
10019746,ABI College Limited,All,All,2014/15,Total,105
10019746,ABI College Limited,England,All,2014/15,Postgraduate (research),0
10019746,ABI College Limited,England,All,2014/15,Postgraduate (taught),0
10019746,ABI College Limited,England,All,2014/15,First degree,0
10019746,ABI College Limited,England,All,2014/15,Other undergraduate,105
10019746,ABI College Limited,England,All,2014/15,Total,105
10007849,Abertay University,Scotland,Scotland,2020/21,Postgraduate (research),75
10007849,Abertay University,Scotland,Scotland,2020/21,Postgraduate (taught),210
10007849,Abertay University,Scotland,Scotland,2020/21,First degree,3980
10007849,Abertay University,Scotland,Scotland,2020/21,Other undergraduate,20
10007849,Abertay University,Scotland,Scotland,2020/21,Total,4285
10007849,Abertay University,All,Scotland,2020/21,Postgraduate (research),75
10007849,Abertay University,All,Scotland,2020/21,Postgraduate (taught),210
10007849,Abertay University,All,Scotland,2020/21,First degree,3980
10007849,Abertay University,All,Scotland,2020/21,Other undergraduate,20
10007849,Abertay University,All,Scotland,2020/21,Total,4285
10007849,Abertay University,All,All,2020/21,Postgraduate (research),75
10007849,Abertay University,All,All,2020/21,Postgraduate (taught),210
10007849,Abertay University,All,All,2020/21,First degree,3980
10007849,Abertay University,All,All,2020/21,Other undergraduate,20
10007849,Abertay University,All,All,2020/21,Total,4285
10007849,Abertay University,Scotland,All,2020/21,Postgraduate (research),75
10007849,Abertay University,Scotland,All,2020/21,Postgraduate (taught),210
10007849,Abertay University,Scotland,All,2020/21,First degree,3980
10007849,Abertay University,Scotland,All,2020/21,Other undergraduate,20
10007849,Abertay University,Scotland,All,2020/21,Total,4285
10007849,Abertay University,Scotland,Scotland,2019/20,Postgraduate (research),75
10007849,Abertay University,Scotland,Scotland,2019/20,Postgraduate (taught),225
10007849,Abertay University,Scotland,Scotland,2019/20,First degree,3730
10007849,Abertay University,Scotland,Scotland,2019/20,Other undergraduate,10
10007849,Abertay University,Scotland,Scotland,2019/20,Total,4040
10007849,Abertay University,All,Scotland,2019/20,Postgraduate (research),75
