UKPRN,HE provider,Academic Year,Level of study,Number
10041898.0,Apex College London,2020/21,Postgraduate (research),0
10041898.0,Apex College London,2020/21,Postgraduate (taught),0
10041898.0,Apex College London,2020/21,First degree,0
10041898.0,Apex College London,2020/21,Other undergraduate,155
10041898.0,Apex College London,2019/20,Postgraduate (research),0
10041898.0,Apex College London,2019/20,Postgraduate (taught),0
10041898.0,Apex College London,2019/20,First degree,0
10041898.0,Apex College London,2019/20,Other undergraduate,105
10041898.0,Apex College London,2018/19,Postgraduate (research),0
10041898.0,Apex College London,2018/19,Postgraduate (taught),0
10041898.0,Apex College London,2018/19,First degree,0
10041898.0,Apex College London,2018/19,Other undergraduate,50
10041898.0,Apex College London,2017/18,Postgraduate (research),0
10041898.0,Apex College London,2017/18,Postgraduate (taught),0
10041898.0,Apex College London,2017/18,First degree,0
10041898.0,Apex College London,2017/18,Other undergraduate,50
10041898.0,Apex College London,2016/17,Postgraduate (research),0
10041898.0,Apex College London,2016/17,Postgraduate (taught),0
10041898.0,Apex College London,2016/17,First degree,0
10041898.0,Apex College London,2016/17,Other undergraduate,50
10041898.0,Apex College London,2015/16,Postgraduate (research),0
10041898.0,Apex College London,2015/16,Postgraduate (taught),0
10041898.0,Apex College London,2015/16,First degree,0
10041898.0,Apex College London,2015/16,Other undergraduate,50
10062759.0,Applied Business Academy Limited,2020/21,Postgraduate (research),0
10062759.0,Applied Business Academy Limited,2020/21,Postgraduate (taught),0
10062759.0,Applied Business Academy Limited,2020/21,First degree,0
10062759.0,Applied Business Academy Limited,2020/21,Other undergraduate,55
10005451.0,Arden University,2020/21,Postgraduate (research),0
10005451.0,Arden University,2020/21,Postgraduate (taught),265
10005451.0,Arden University,2020/21,First degree,6730
10005451.0,Arden University,2020/21,Other undergraduate,0
10005451.0,Arden University,2019/20,Postgraduate (research),0
10005451.0,Arden University,2019/20,Postgraduate (taught),200
10005451.0,Arden University,2019/20,First degree,3755
10005451.0,Arden University,2019/20,Other undergraduate,15
10005451.0,Arden University,2018/19,Postgraduate (research),0
10005451.0,Arden University,2018/19,Postgraduate (taught),160
10005451.0,Arden University,2018/19,First degree,2755
10005451.0,Arden University,2018/19,Other undergraduate,35
10005451.0,Arden University,2017/18,Postgraduate (research),0
10005451.0,Arden University,2017/18,Postgraduate (taught),90
10005451.0,Arden University,2017/18,First degree,1880
10005451.0,Arden University,2017/18,Other undergraduate,70
10005451.0,Arden University,2016/17,Postgraduate (research),0
10005451.0,Arden University,2016/17,Postgraduate (taught),100
10005451.0,Arden University,2016/17,First degree,1000
10005451.0,Arden University,2016/17,Other undergraduate,150
10005451.0,Arden University,2015/16,Postgraduate (research),0
10005451.0,Arden University,2015/16,Postgraduate (taught),0
10005451.0,Arden University,2015/16,First degree,600
10005451.0,Arden University,2015/16,Other undergraduate,225
10000381.0,Arts Educational Schools,2020/21,Postgraduate (research),0
10000381.0,Arts Educational Schools,2020/21,Postgraduate (taught),40
10000381.0,Arts Educational Schools,2020/21,First degree,255
10000381.0,Arts Educational Schools,2020/21,Other undergraduate,60
10000381.0,Arts Educational Schools,2019/20,Postgraduate (research),0
10000381.0,Arts Educational Schools,2019/20,Postgraduate (taught),30
10000381.0,Arts Educational Schools,2019/20,First degree,240
10000381.0,Arts Educational Schools,2019/20,Other undergraduate,0
10000381.0,Arts Educational Schools,2018/19,Postgraduate (research),0
10000381.0,Arts Educational Schools,2018/19,Postgraduate (taught),35
10000381.0,Arts Educational Schools,2018/19,First degree,235
10000381.0,Arts Educational Schools,2018/19,Other undergraduate,0
10000381.0,Arts Educational Schools,2017/18,Postgraduate (research),0
10000381.0,Arts Educational Schools,2017/18,Postgraduate (taught),30
10000381.0,Arts Educational Schools,2017/18,First degree,240
10000381.0,Arts Educational Schools,2017/18,Other undergraduate,0
10000381.0,Arts Educational Schools,2016/17,Postgraduate (research),0
10000381.0,Arts Educational Schools,2016/17,Postgraduate (taught),0
10000381.0,Arts Educational Schools,2016/17,First degree,235
10000381.0,Arts Educational Schools,2016/17,Other undergraduate,0
10000381.0,Arts Educational Schools,2015/16,Postgraduate (research),0
10000381.0,Arts Educational Schools,2015/16,Postgraduate (taught),0
10000381.0,Arts Educational Schools,2015/16,First degree,240
10000381.0,Arts Educational Schools,2015/16,Other undergraduate,0
10000381.0,Arts Educational Schools,2014/15,Postgraduate (research),0
10000381.0,Arts Educational Schools,2014/15,Postgraduate (taught),0
10000381.0,Arts Educational Schools,2014/15,First degree,240
10000381.0,Arts Educational Schools,2014/15,Other undergraduate,0
10008899.0,The Ashridge (Bonar Law Memorial) Trust,2020/21,Postgraduate (research),10
10008899.0,The Ashridge (Bonar Law Memorial) Trust,2020/21,Postgraduate (taught),420
10008899.0,The Ashridge (Bonar Law Memorial) Trust,2020/21,First degree,50
10008899.0,The Ashridge (Bonar Law Memorial) Trust,2020/21,Other undergraduate,15
10003212.0,Hult International Business School Ltd,2020/21,Postgraduate (research),0
10003212.0,Hult International Business School Ltd,2020/21,Postgraduate (taught),485
10003212.0,Hult International Business School Ltd,2020/21,First degree,955
10003212.0,Hult International Business School Ltd,2020/21,Other undergraduate,0
10003212.0,Hult International Business School Ltd,2019/20,Postgraduate (research),0
10003212.0,Hult International Business School Ltd,2019/20,Postgraduate (taught),500
10003212.0,Hult International Business School Ltd,2019/20,First degree,980
10003212.0,Hult International Business School Ltd,2019/20,Other undergraduate,0
10007759.0,Aston University,2020/21,Postgraduate (research),290
10007759.0,Aston University,2020/21,Postgraduate (taught),1815
10007759.0,Aston University,2020/21,First degree,11590
10007759.0,Aston University,2020/21,Other undergraduate,185
10007759.0,Aston University,2019/20,Postgraduate (research),295
10007759.0,Aston University,2019/20,Postgraduate (taught),1530
10007759.0,Aston University,2019/20,First degree,10940
10007759.0,Aston University,2019/20,Other undergraduate,255
10007759.0,Aston University,2018/19,Postgraduate (research),290
10007759.0,Aston University,2018/19,Postgraduate (taught),1420
10007759.0,Aston University,2018/19,First degree,10815
10007759.0,Aston University,2018/19,Other undergraduate,355
10007759.0,Aston University,2017/18,Postgraduate (research),290
10007759.0,Aston University,2017/18,Postgraduate (taught),1520
10007759.0,Aston University,2017/18,First degree,10740
10007759.0,Aston University,2017/18,Other undergraduate,200
10007759.0,Aston University,2016/17,Postgraduate (research),270
10007759.0,Aston University,2016/17,Postgraduate (taught),1470
10007759.0,Aston University,2016/17,First degree,10030
10007759.0,Aston University,2016/17,Other undergraduate,300
10007759.0,Aston University,2015/16,Postgraduate (research),270
10007759.0,Aston University,2015/16,Postgraduate (taught),1380
10007759.0,Aston University,2015/16,First degree,9180
10007759.0,Aston University,2015/16,Other undergraduate,245
10007759.0,Aston University,2014/15,Postgraduate (research),215
10007759.0,Aston University,2014/15,Postgraduate (taught),1270
10007759.0,Aston University,2014/15,First degree,7890
10007759.0,Aston University,2014/15,Other undergraduate,210
10038772.0,British Academy of Jewellery Limited,2020/21,Postgraduate (research),0
10038772.0,British Academy of Jewellery Limited,2020/21,Postgraduate (taught),0
10038772.0,British Academy of Jewellery Limited,2020/21,First degree,0
10038772.0,British Academy of Jewellery Limited,2020/21,Other undergraduate,25
10007857.0,Bangor University,2020/21,Postgraduate (research),400
10007857.0,Bangor University,2020/21,Postgraduate (taught),1400
10007857.0,Bangor University,2020/21,First degree,6370
10007857.0,Bangor University,2020/21,Other undergraduate,35
10007857.0,Bangor University,2019/20,Postgraduate (research),485
10007857.0,Bangor University,2019/20,Postgraduate (taught),1435
10007857.0,Bangor University,2019/20,First degree,6800
10007857.0,Bangor University,2019/20,Other undergraduate,85
10007857.0,Bangor University,2018/19,Postgraduate (research),480
10007857.0,Bangor University,2018/19,Postgraduate (taught),1075
10007857.0,Bangor University,2018/19,First degree,7190
10007857.0,Bangor University,2018/19,Other undergraduate,80
10007857.0,Bangor University,2017/18,Postgraduate (research),460
10007857.0,Bangor University,2017/18,Postgraduate (taught),1345
10007857.0,Bangor University,2017/18,First degree,7695
10007857.0,Bangor University,2017/18,Other undergraduate,135
10007857.0,Bangor University,2016/17,Postgraduate (research),485
10007857.0,Bangor University,2016/17,Postgraduate (taught),1195
10007857.0,Bangor University,2016/17,First degree,7705
10007857.0,Bangor University,2016/17,Other undergraduate,220
10007857.0,Bangor University,2015/16,Postgraduate (research),435
10007857.0,Bangor University,2015/16,Postgraduate (taught),1285
10007857.0,Bangor University,2015/16,First degree,7350
10007857.0,Bangor University,2015/16,Other undergraduate,185
10007857.0,Bangor University,2014/15,Postgraduate (research),460
10007857.0,Bangor University,2014/15,Postgraduate (taught),1535
10007857.0,Bangor University,2014/15,First degree,6985
10007857.0,Bangor University,2014/15,Other undergraduate,315
10000571.0,Bath Spa University,2020/21,Postgraduate (research),100
10000571.0,Bath Spa University,2020/21,Postgraduate (taught),1155
10000571.0,Bath Spa University,2020/21,First degree,5620
10000571.0,Bath Spa University,2020/21,Other undergraduate,130
10000571.0,Bath Spa University,2019/20,Postgraduate (research),100
10000571.0,Bath Spa University,2019/20,Postgraduate (taught),1140
10000571.0,Bath Spa University,2019/20,First degree,5980
10000571.0,Bath Spa University,2019/20,Other undergraduate,185
10000571.0,Bath Spa University,2018/19,Postgraduate (research),90
10000571.0,Bath Spa University,2018/19,Postgraduate (taught),1105
10000571.0,Bath Spa University,2018/19,First degree,5630
10000571.0,Bath Spa University,2018/19,Other undergraduate,205
10000571.0,Bath Spa University,2017/18,Postgraduate (research),90
10000571.0,Bath Spa University,2017/18,Postgraduate (taught),1030
10000571.0,Bath Spa University,2017/18,First degree,5845
10000571.0,Bath Spa University,2017/18,Other undergraduate,250
10000571.0,Bath Spa University,2016/17,Postgraduate (research),85
10000571.0,Bath Spa University,2016/17,Postgraduate (taught),945
10000571.0,Bath Spa University,2016/17,First degree,5725
10000571.0,Bath Spa University,2016/17,Other undergraduate,305
10000571.0,Bath Spa University,2015/16,Postgraduate (research),70
10000571.0,Bath Spa University,2015/16,Postgraduate (taught),1020
10000571.0,Bath Spa University,2015/16,First degree,5255
10000571.0,Bath Spa University,2015/16,Other undergraduate,370
10000571.0,Bath Spa University,2014/15,Postgraduate (research),70
10000571.0,Bath Spa University,2014/15,Postgraduate (taught),1030
10000571.0,Bath Spa University,2014/15,First degree,4730
10000571.0,Bath Spa University,2014/15,Other undergraduate,395
10007850.0,The University of Bath,2020/21,Postgraduate (research),1135
10007850.0,The University of Bath,2020/21,Postgraduate (taught),2150
10007850.0,The University of Bath,2020/21,First degree,13305
10007850.0,The University of Bath,2020/21,Other undergraduate,120
10007850.0,The University of Bath,2019/20,Postgraduate (research),1120
10007850.0,The University of Bath,2019/20,Postgraduate (taught),2210
10007850.0,The University of Bath,2019/20,First degree,13250
10007850.0,The University of Bath,2019/20,Other undergraduate,150
10007850.0,The University of Bath,2018/19,Postgraduate (research),1125
10007850.0,The University of Bath,2018/19,Postgraduate (taught),2020
10007850.0,The University of Bath,2018/19,First degree,13050
10007850.0,The University of Bath,2018/19,Other undergraduate,145
10007850.0,The University of Bath,2017/18,Postgraduate (research),1125
10007850.0,The University of Bath,2017/18,Postgraduate (taught),1960
10007850.0,The University of Bath,2017/18,First degree,12915
10007850.0,The University of Bath,2017/18,Other undergraduate,140
10007850.0,The University of Bath,2016/17,Postgraduate (research),1045
10007850.0,The University of Bath,2016/17,Postgraduate (taught),1675
10007850.0,The University of Bath,2016/17,First degree,12540
10007850.0,The University of Bath,2016/17,Other undergraduate,150
10007850.0,The University of Bath,2015/16,Postgraduate (research),1030
10007850.0,The University of Bath,2015/16,Postgraduate (taught),1630
10007850.0,The University of Bath,2015/16,First degree,11710
10007850.0,The University of Bath,2015/16,Other undergraduate,150
10007850.0,The University of Bath,2014/15,Postgraduate (research),1035
10007850.0,The University of Bath,2014/15,Postgraduate (taught),1555
10007850.0,The University of Bath,2014/15,First degree,10970
10007850.0,The University of Bath,2014/15,Other undergraduate,145
10007152.0,University of Bedfordshire,2020/21,Postgraduate (research),130
10007152.0,University of Bedfordshire,2020/21,Postgraduate (taught),2730
10007152.0,University of Bedfordshire,2020/21,First degree,10640
10007152.0,University of Bedfordshire,2020/21,Other undergraduate,385
10007152.0,University of Bedfordshire,2019/20,Postgraduate (research),150
10007152.0,University of Bedfordshire,2019/20,Postgraduate (taught),2415
10007152.0,University of Bedfordshire,2019/20,First degree,10485
10007152.0,University of Bedfordshire,2019/20,Other undergraduate,325
10007152.0,University of Bedfordshire,2018/19,Postgraduate (research),155
10007152.0,University of Bedfordshire,2018/19,Postgraduate (taught),1260
10007152.0,University of Bedfordshire,2018/19,First degree,8830
10007152.0,University of Bedfordshire,2018/19,Other undergraduate,420
10007152.0,University of Bedfordshire,2017/18,Postgraduate (research),165
10007152.0,University of Bedfordshire,2017/18,Postgraduate (taught),1175
10007152.0,University of Bedfordshire,2017/18,First degree,8200
10007152.0,University of Bedfordshire,2017/18,Other undergraduate,490
10007152.0,University of Bedfordshire,2016/17,Postgraduate (research),175
10007152.0,University of Bedfordshire,2016/17,Postgraduate (taught),1440
10007152.0,University of Bedfordshire,2016/17,First degree,8880
10007152.0,University of Bedfordshire,2016/17,Other undergraduate,630
